,2000_cases,2001_cases,2002_cases,2003_cases,2004_cases,2005_cases,2006_cases,2007_cases,2008_cases,2009_cases,2010_cases,2011_cases,2012_cases,2013_cases,2014_cases,2015_cases,2016_cases,2017_cases,2018_cases,2019_cases,2020_cases,2021_cases,2022_cases,2000_pop,2001_pop,2002_pop,2003_pop,2004_pop,2005_pop,2006_pop,2007_pop,2008_pop,2009_pop,2010_pop,2011_pop,2012_pop,2013_pop,2014_pop,2015_pop,2016_pop,2017_pop,2018_pop,2019_pop,2020_pop,2021_pop,2022_pop
ANGUILLA,3.0,25.0,5.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,9.0,7.0,8.0,2.0,0.0,,10.0,1.0,0.0,0.0,,,11.07,11.372,11.692,12.021,12.339,12.638,12.903,13.15,13.36,13.565,13.769,13.951,14.129,14.299,14.459,14.611,14.764,14.909,15.045,15.174,15.283,15.38,15.456
ANTIGUA AND BARBUDA,8.0,20.0,5.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,3.0,7.0,10.0,3.0,2.0,0.0,1.0,0.0,0.0,54.0,353.0,0.0,0.0,26.853,26.997,26.827,26.593,26.333,26.078,25.832,25.589,25.344,25.096,24.837,24.603,24.703,24.798,24.891,24.981,25.085,25.21,25.35,25.507,25.682,25.873,26.086
ARGENTINA,1700.0,11.0,234.0,135.0,3284.0,249.0,181.0,173.0,40.0,26612.0,1185.0,213.0,2803.0,9357.0,3207.0,4529.0,78034.0,523.0,744.0,3283.0,59290.0,3801.0,383.0,33033.759,33472.77,33914.629,34358.182,34801.668,35243.134,35682.044,36119.46,36558.068,37001.229,37451.589,37903.389,38358.76,38817.436,39275.143,39728.358,40175.981,40618.237,41055.867,41489.566,41919.857,42346.437,42768.727
ARUBA,76.0,0.0,25.0,,173.0,0.0,5.0,0.0,0.0,845.0,1415.0,3027.0,0.0,528.0,49.0,,51.0,0.0,9.0,0.0,1.0,0.0,0.0,42.444,43.048,43.67,44.246,44.669,44.889,44.881,44.685,44.375,44.052,43.778,43.822,44.064,44.361,44.674,44.979,45.275,45.572,45.872,46.182,46.511,46.848,47.2
AUSTRALIA,217.0,183.0,224.0,868.0,356.0,219.0,188.0,316.0,557.0,1404.0,1228.0,821.0,1539.0,1841.0,1721.0,1716.0,2239.0,1135.0,933.0,1469.0,224.0,11.0,535.0,16060.093,16204.901,16402.364,16612.936,16848.992,17118.434,17425.913,17767.362,18128.926,18491.814,18842.292,19175.331,19490.21,19794.324,20094.765,20396.531,20700.043,21003.923,21307.04,21607.414,21903.705,22195.539,22483.604
BAHAMAS,0.0,0.0,0.0,180.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,7000.0,3.0,3.0,,3.0,12.0,10.0,2.0,16.0,1.0,,,244.291,248.72,253.792,259.334,265.039,270.701,276.253,281.741,287.112,292.348,297.422,302.33,307.053,311.587,315.931,320.094,324.066,327.853,331.506,335.099,338.674,342.261,345.844
BANGLADESH,5551.0,2430.0,6132.0,486.0,3934.0,1048.0,2200.0,466.0,2304.0,946.0,818.0,1359.0,671.0,1749.0,375.0,3162.0,6060.0,2769.0,10148.0,104954.0,1405.0,26683.0,61089.0,31040.651,32314.063,33817.103,35350.71,36901.153,38452.976,40001.295,41547.154,43106.528,44698.643,46347.089,48058.704,49821.256,51624.214,53455.788,55305.132,57168.03,59046.818,60944.245,62865.82,64814.953,66791.896,68791.79
BARBADOS,744.0,1057.0,740.0,557.0,349.0,320.0,1.0,0.0,1.0,55.0,2917.0,745.0,912.0,2871.0,2666.0,503.0,1732.0,597.0,69.0,125.0,1342.0,448.0,100.0,91.281,91.028,90.758,90.482,90.221,89.988,89.788,89.613,89.453,89.286,89.099,88.951,88.849,88.79,88.778,88.815,88.898,89.026,89.201,89.426,89.695,90.012,90.38
BELIZE,4.0,3.0,41.0,9.0,2.0,380.0,9.0,40.0,23.0,1457.0,2178.0,469.0,1421.0,2777.0,4990.0,5691.0,4899.0,3054.0,2347.0,13410.0,2658.0,1251.0,0.0,112.275,115.714,118.946,122.042,125.15,128.36,131.696,135.115,138.575,142.036,145.456,148.888,152.345,155.852,159.442,163.139,166.945,170.857,174.871,178.983,183.182,187.469,191.851
BERMUDA,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,64.028,64.323,64.61,64.87,65.065,65.13,65.063,64.892,64.625,64.303,63.956,63.581,63.179,62.771,62.382,62.003,61.666,61.349,61.07,60.833,60.639,60.472,60.354
